,词语,数量
0,了,19610
1,的,14342
2,我,7587
3,道,6734
4,他,6453
5,说,6186
6,你,5806
7,也,5761
8,是,5458
9,又,4997
10,着,4385
11,来,4135
12,贾,4033
13,宝玉,3966
14,去,3715
15,人,3527
16,这,3396
17,便,3114
18,有,2796
19,笑,2784
20,都,2585
21,就,2570
22,在,2533
23,叫,2220
24,不,2116
25,呢,2107
26,那,1950
27,见,1940
28,太太,1917
29,什么,1885
30,儿,1868
31,一,1808
32,要,1790
33,听,1774
34,玉,1709
35,好,1671
36,还,1607
37,等,1585
38,只,1459
39,一个,1443
40,夫人,1418
41,因,1407
42,姐,1386
43,凤,1364
44,母,1352
45,个,1338
46,和,1295
47,黛,1275
48,问,1235
49,才,1221
50,倒,1219
51,我们,1206
52,那里,1204
53,袭,1170
54,宝,1165
55,罢,1160
56,到,1146
57,姑娘,1143
58,怎么,1129
59,看,1112
60,忙,1100
61,给,1061
62,不知,1050
63,王夫人,1046
64,上,1045
65,出来,1028
66,丫头,1023
67,起来,1022
68,你们,1020
69,把,988
70,说道,975
71,知道,974
72,老太,967
73,老太太,960
74,如今,959
75,们,940
76,这里,938
77,得,926
78,奶奶,917
79,吃,910
80,将,903
81,之,902
82,不是,897
83,事,875
84,众人,872
85,再,851
86,他们,851
87,些,839
88,钗,835
89,自己,832
90,一面,826
91,琏,808
92,拿,801
93,没有,799
94,家,799
95,想,780
96,做,773
97,只见,769
98,不得,759
99,请,756
100,过,752
101,大,752
102,听见,752
103,两个,742
104,回,715
105,这个,713
106,话,705
107,进来,693
108,平儿,693
109,命,679
110,就是,679
111,老爷,658
112,姐儿,639
113,咱们,620
114,东西,616
115,没,614
116,谁,612
117,这么,596
118,告诉,594
119,姐姐,589
120,回来,582
121,与,578
122,坐,577
123,不好,576
124,走,574
125,时,567
126,出去,534
127,只得,530
128,至,529
129,先,528
130,却,527
131,大家,527
132,只是,521
133,二爷,519
134,姨妈,518
135,不敢,517
136,里,516
137,小,514
138,这样,513
139,若,503
140,李,501
141,政,499
142,不过,494
143,下,493
144,已,493
145,这些,493
146,过来,491
147,带,487
148,为,484
149,个人,482
150,并,481
151,妹妹,478
152,且,476
153,所以,465
154,人道,465
155,紫,465
156,死,461
157,打,460
158,的话,454
159,薛姨妈,451
160,往,445
161,瞧,443
162,别,441
163,探春,439
164,心里,429
165,鹃,428
166,送,421
167,鸳鸯,420
168,竟,419
169,方,419
170,中,415
171,屋里,415
172,湘云,414
173,心,413
174,人家,413
175,不能,411
176,薛,411
177,一时,408
178,知,406
179,多,406
180,凤姐儿,403
181,字,402
182,官,400
183,可,399
184,月,398
185,哭,395
186,珍,391
187,正,389
188,氏,388
189,比,382
190,今日,380
191,婆子,380
192,出,379
193,么,378
194,更,375
195,几个,372
196,纨,371
197,找,369
198,答应,369
199,病,368
200,会子,366
201,自,365
202,起,362
203,银子,361
204,向,358
205,还有,357
206,罢了,357
207,完,356
208,媳妇,352
209,该,351
210,连,351
211,如此,348
212,说话,348
213,只管,339
214,二人,334
215,那边,334
216,一回,330
217,从,330
218,茶,325
219,府,324
220,外头,323
221,老老,320
222,自然,319
223,不用,319
224,钱,317
225,虽,315
226,春,315
227,气,315
228,怕,315
229,无,310
230,三,310
231,快,309
232,住,307
233,用,305
234,刘,304
235,打发,304
236,金,303
237,这话,303
238,问道,302
239,闹,302
240,晴雯,301
241,那些,297
242,忽,296
243,尤,294
