岗位,公司,链接,工资,地区,发布时间
NLP工程师（人工智能/机器学习/自然语言处理） ,  深圳前海白羽毛互联网金融服务有限公司  , http://company.zhaopin.com/CZ741865240.htm , 18000-25000 , 北京 , 刚刚
自然语言处理 算法工程师 NLP 高级机器学习工程师 ,  深圳狗尾草智能科技有限公司  , http://company.zhaopin.com/CC698148522.htm , 15000-30000 , 上海 , 昨天
自然语言处理 算法工程师 NLP 高级机器学习工程师 ,  深圳狗尾草智能科技有限公司  , http://company.zhaopin.com/CC698148522.htm , 15000-30000 , 深圳 , 昨天
图像算法/机器学习工程师(美图实验室)—北京 ,  美图公司 实验室  , Not exist , 面议 , 北京 , 昨天
机器学习与人工智能工程师 ,  顺丰科技海外招聘  , Not exist , 面议 , 深圳 , 昨天
图像算法/机器学习工程师(美图实验室)—厦门 ,  美图公司 实验室  , Not exist , 面议 , 厦门 , 昨天
图像算法/机器学习工程师(美图实验室)—深圳 ,  美图公司 实验室  , Not exist , 面议 , 深圳 , 昨天
机器学习 ,  南京信息技术研究院2017  , Not exist , 面议 , 南京 , 昨天
机器学习与人工智能工程师 ,  顺丰科技有限公司  , Not exist , 面议 , 深圳 , 昨天
机器学习与人工智能工程师 ,  顺丰科技有限公司  , Not exist , 面议 , 深圳 , 昨天
算法工程师【机器学习方向】 ,  技术类  , Not exist , 面议 , 全国 , 昨天
实习生（深度学习、机器学习） ,  金陵投资控股有限公司  , http://company.zhaopin.com/%E9%87%91%E9%99%B5%E6%8A%95%E8%B5%84%E6%8E%A7%E8%82%A1%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC375218511.htm , 4001-6000 , 北京 , 前天
机器学习工程师 ,  四川享宇金信金融服务外包有限公司  , http://company.zhaopin.com/CC284876282.htm , 10000-18000 , 成都 , 前天
