,pinyin,unicode
0,LING2,"['\\u3007', '\\u4F36', '\\u51CC', '\\u5222', '\\u5464', '\\u56F9', '\\u577D', '\\u590C', '\\u59C8', '\\u5B41', '\\u5CAD', '\\u5CBA', '\\u670E', '\\u67C3', '\\u68C2', '\\u6AFA', '\\u6B1E', '\\u6CE0', '\\u6DE9', '\\u6FAA', '\\u7075', '\\u71EF', '\\u7227', '\\u72D1', '\\u73B2', '\\u740C', '\\u74F4', '\\u768A', '\\u7756', '\\u7831', '\\u7890', '\\u797E', '\\u79E2', '\\u7ADB', '\\u7B2D', '\\u7D37', '\\u7DBE', '\\u7EEB', '\\u7F9A', '\\u7FCE', '\\u8046', '\\u8232', '\\u82D3', '\\u83F1', '\\u8506', '\\u8576', '\\u8626', '\\u86C9', '\\u8851', '\\u88EC', '\\u8A45', '\\u8DC9', '\\u8EE8', '\\u8F18', '\\u9143', '\\u91BD', '\\u9234', '\\u9302', '\\u94C3', '\\u959D', '\\u9675', '\\u96F6', '\\u970A', '\\u971B', '\\u971D', '\\u9748', '\\u99D6', '\\u9B7F', '\\u9BEA', '\\u9CAE', '\\u9D12', '\\u9E30', '\\u9E77', '\\u9EA2', '\\u9F61', '\\u9F62', '\\u9F84', '\\u9F97']"
1,YI1,"['\\u4E00', '\\u4F0A', '\\u4F9D', '\\u541A', '\\u54BF', '\\u566B', '\\u58F1', '\\u58F9', '\\u5901', '\\u5ADB', '\\u5F0C', '\\u6098', '\\u63D6', '\\u6AB9', '\\u6B39', '\\u6BC9', '\\u6CC6', '\\u6D22', '\\u6EB0', '\\u6F2A', '\\u71DA', '\\u7317', '\\u747F', '\\u794E', '\\u7995', '\\u7A26', '\\u7E44', '\\u86DC', '\\u8863', '\\u8B69', '\\u90FC', '\\u91AB', '\\u92A5', '\\u966D', '\\u990F', '\\u997B', '\\u9DD6', '\\u9E65', '\\u9EDF', '\\u9EF3']"
2,DING1,"['\\u4E01', '\\u4EC3', '\\u53EE', '\\u5975', '\\u5E04', '\\u5EB0', '\\u738E', '\\u7594', '\\u76EF', '\\u91D8', '\\u9489', '\\u976A']"
3,KAO3,"['\\u4E02', '\\u62F7', '\\u6537', '\\u6832', '\\u69C0', '\\u6D18', '\\u70E4', '\\u71FA', '\\u7A01', '\\u8003', '\\u85A7', '\\u9BB3', '\\u9C93']"
4,QI1,"['\\u4E03', '\\u501B', '\\u50DB', '\\u51C4', '\\u552D', '\\u5601', '\\u5884', '\\u59BB', '\\u5A38', '\\u60BD', '\\u617C', '\\u617D', '\\u621A', '\\u6532', '\\u671F', '\\u67D2', '\\u6816', '\\u6864', '\\u687C', '\\u68F2', '\\u69BF', '\\u6B3A', '\\u6C8F', '\\u6DD2', '\\u6F06', '\\u78CE', '\\u78E9', '\\u7DC0', '\\u840B', '\\u8AC6', '\\u90EA', '\\u970B', '\\u9863', '\\u9B4C', '\\u9D88', '\\u9E02']"
5,SHANG4,"['\\u4E04', '\\u4E0A', '\\u59E0', '\\u5C19', '\\u5C1A', '\\u8830', '\\u9284', '\\u945C']"
6,XIA4,"['\\u4E05', '\\u4E0B', '\\u5413', '\\u5687', '\\u590F', '\\u5913', '\\u61D7', '\\u6B31', '\\u759C', '\\u7771', '\\u7F45', '\\u8290', '\\u93EC', '\\u9DB7']"
7,WAN4,"['\\u4E07', '\\u4EF4', '\\u534D', '\\u5350', '\\u5FE8', '\\u6365', '\\u7D84', '\\u7FEB', '\\u8155', '\\u842C', '\\u87C3', '\\u8CA6', '\\u8D0E', '\\u93AB']"
8,ZHANG4,"['\\u4E08', '\\u4ED7', '\\u5D82', '\\u5E10', '\\u5E33', '\\u5E5B', '\\u6259', '\\u6756', '\\u6DB1', '\\u75EE', '\\u762C', '\\u7634', '\\u7795', '\\u7DD4', '\\u80C0', '\\u8139', '\\u8CEC', '\\u8D26', '\\u969C']"
9,SAN1,"['\\u4E09', '\\u53C1', '\\u5607', '\\u5F0E', '\\u6515', '\\u6BF5', '\\u6BFF', '\\u7299', '\\u7CC1', '\\u9B16']"
10,JI1,"['\\u4E0C', '\\u4E69', '\\u50DF', '\\u51E0', '\\u5209', '\\u520F', '\\u525E', '\\u52E3', '\\u53FD', '\\u54AD', '\\u5527', '\\u559E', '\\u55D8', '\\u5630', '\\u57FA', '\\u58BC', '\\u59EB', '\\u59EC', '\\u5C10', '\\u5C50', '\\u5CDC', '\\u5D46', '\\u5D47', '\\u64CA', '\\u671E', '\\u673A', '\\u6785', '\\u6A0D', '\\u6A5F', '\\u6AC5', '\\u6BC4', '\\u6FC0', '\\u7284', '\\u7391', '\\u74A3', '\\u7578', '\\u757F', '\\u77F6', '\\u78EF', '\\u79A8', '\\u79EF', '\\u7A18', '\\u7A3D', '\\u7A4D', '\\u7B04', '\\u7B53', '\\u7B95', '\\u7C0A', '\\u7DDD', '\\u7E3E', '\\u7EE9', '\\u7F81', '\\u7F87', '\\u7F88', '\\u802D', '\\u807B', '\\u808C', '\\u8640', '\\u866E', '\\u8940', '\\u8989', '\\u898A', '\\u89ED', '\\u8AC5', '\\u8B4F', '\\u8B64', '\\u8BA5', '\\u8CEB', '\\u8CF7', '\\u8D4D', '\\u8DE1', '\\u8DFB', '\\u8E5F', '\\u8E8B', '\\u8EB8', '\\u8FF9', '\\u9288', '\\u9416', '\\u9447', '\\u9459', '\\u96AE', '\\u96DE', '\\u97BF', '\\u97F2', '\\u98E2', '\\u9951', '\\u9965', '\\u9C3F', '\\u9CEE', '\\u9D8F', '\\u9DC4', '\\u9E21', '\\u9EA1', '\\u9F4E', '\\u9F4F', '\\u9F51']"
11,BU4,"['\\u4E0D', '\\u4F48', '\\u5425', '\\u5498', '\\u57D7', '\\u57E0', '\\u5E03', '\\u6016', '\\u6091', '\\u6357', '\\u6B65', '\\u6B68', '\\u6B69', '\\u7BF0', '\\u7C3F', '\\u8379', '\\u8500', '\\u90E8', '\\u90F6', '\\u923D', '\\u949A', '\\u94B8', '\\u9922', '\\u9BAC']"
12,YU3,"['\\u4E0E', '\\u4F1B', '\\u4FC1', '\\u4FE3', '\\u504A', '\\u50B4', '\\u5673', '\\u5704', '\\u5709', '\\u5B87', '\\u5BD9', '\\u5C7F', '\\u5CFF', '\\u5DBC', '\\u5EBE', '\\u61D9', '\\u6554', '\\u6594', '\\u659E', '\\u6940', '\\u7440', '\\u7610', '\\u7964', '\\u79B9', '\\u7AB3', '\\u7BFD', '\\u7FBD', '\\u8065', '\\u8207', '\\u842D', '\\u84F9', '\\u860C', '\\u87A4', '\\u8A9E', '\\u8BED', '\\u8C90', '\\u9105', '\\u9151', '\\u96E8', '\\u9F6C', '\\u9F89']"
13,MIAN3,"['\\u4E0F', '\\u506D', '\\u514D', '\\u5195', '\\u52C9', '\\u52D4', '\\u5595', '\\u5A29', '\\u6110', '\\u6C45', '\\u6C94', '\\u6E4E', '\\u6FA0', '\\u7704', '\\u7D7B', '\\u7DEC', '\\u7F05', '\\u817C', '\\u8442', '\\u9BB8', '\\u9EAA', '\\u9EAB']"
14,GAI4,"['\\u4E10', '\\u4E62', '\\u5303', '\\u5304', '\\u6224', '\\u6461', '\\u6982', '\\u69E9', '\\u69EA', '\\u6E89', '\\u6F11', '\\u74C2', '\\u76D6', '\\u8462', '\\u84CB', '\\u8CCC', '\\u9223', '\\u9499']"
15,CHOU3,"['\\u4E11', '\\u4E12', '\\u4FB4', '\\u5062', '\\u541C', '\\u677B', '\\u677D', '\\u7785', '\\u77C1', '\\u919C', '\\u9B57']"
16,ZHUAN1,"['\\u4E13', '\\u53C0', '\\u587C', '\\u5AE5', '\\u5C02', '\\u5C08', '\\u747C', '\\u750E', '\\u7816', '\\u78DA', '\\u7BFF', '\\u8011', '\\u819E', '\\u87E4', '\\u911F', '\\u9853', '\\u989B', '\\u9C44', '\\u9DD2']"
17,QIE3,['\\u4E14']
18,PI1,"['\\u4E15', '\\u4F3E', '\\u5288', '\\u567C', '\\u576F', '\\u6036', '\\u6082', '\\u61B5', '\\u6279', '\\u62AB', '\\u62B7', '\\u65C7', '\\u708B', '\\u72C9', '\\u72D3', '\\u7812', '\\u78C7', '\\u7915', '\\u79DB', '\\u79E0', '\\u7D15', '\\u7FCD', '\\u801A', '\\u82E4', '\\u8C7E', '\\u91FD', '\\u9208', '\\u9239', '\\u925F', '\\u9294', '\\u94CD', '\\u9739', '\\u99D3', '\\u9AEC', '\\u9AF2', '\\u9B8D', '\\u9C8F', '\\u9D04']"
