公司名   工作地点   薪资
北京宇华永信分析科技有限公司   北京-海淀区   0.8-1万/月
上海易路软件有限公司   成都   0.8-1.4万/月
深圳爱财科技有限公司   深圳-南山区   1.5-2.5万/月
北京天融信科技有限公司   北京   0.8-1万/月
深圳市悦动天下科技有限公司   深圳-南山区   1-2万/月
鼎合远传技术（北京）股份有限公司   北京-朝阳区   2-4万/月
北京敏特昭阳科技发展有限公司   北京-朝阳区   1-2万/月
深圳好多银科技有限公司   深圳-罗湖区   0.8-1.5万/月
厦门中云创电子科技有限公司   厦门   0.8-1.2万/月
成都国信安信息产业基地有限公司   成都-双流县   0.6-1万/月
成都柠檬时光科技有限公司   成都-武侯区   0.8-1.2万/月
杭州海康威视数字技术股份有限公司   杭州   0.9-1.5万/月
北京捷通华声科技股份有限公司   北京   2.5-5万/月
武汉市柒柒肆玖信息技术有限公司   武汉   0.8-1万/月
上海逗屋网络科技有限公司   上海   1.5-2.5万/月
订餐小秘书   上海-浦东新区   2.5-5万/月
上海南天电脑系统有限公司   上海   1-1.5万/月
上海无忧汽车驾驶服务有限公司   上海-浦东新区   1-1.8万/月
苏州朗拓软件有限公司南京分公司   南京-玄武区   1-1.5万/月
亚创博彦（上海）信息技术有限公司   上海-长宁区   1-1.5万/月
首汇焦点（深圳）科技有限公司   深圳-南山区   1.5-2.5万/月
上海犀语科技有限公司   上海-杨浦区   1.2-2万/月
宁波新希望信息技术有限公司   宁波   0.8-1万/月
河北冀商股权投资基金管理有限公司   石家庄   3-4.5千/月
尚正（北京）信息技术有限公司   北京-丰台区   0.8-2万/月
深圳贝尔创意科教有限公司   深圳-南山区   0.8-1.5万/月
上海傲硕信息科技有限公司   上海-浦东新区   1.2-1.8万/月
深圳市风云实业有限公司   成都-青羊区   0.5-1万/月
上海睿迹网络科技有限公司   上海-浦东新区   1-1.5万/月
广州飞屋网络科技有限公司   广州   1-2万/月
雷象科技（北京）有限公司   北京-海淀区   1.5-2万/月
中亚置业集团有限公司   深圳   0.8-1.5万/月
上海森亿医疗科技有限公司   上海-浦东新区   0.7-1.4万/月
四川归然养老服务有限公司   成都-高新区   4.5-6千/月
上海拍拍贷金融信息服务有限公司   上海   2-2.5万/月
昆明俊云科技有限公司   昆明   0.8-1.2万/月
四川锦衣卫科技有限公司   成都-高新区   5-8千/月
深圳市博雅成信金融服务有限公司   成都-高新区   0.6-1万/月
宁波国研软件技术有限公司   宁波   0.8-1万/月
东吴在线（上海）金融信息服务有限...   上海-浦东新区   1.5-3万/月
浙江腾翊信息科技有限公司   杭州-下城区   1-1.5万/月
上海易立德企业管理咨询有限公司   深圳-龙岗区   1-1.5万/月
上海房金所金融信息服务有限公司   上海-杨浦区   1.5-2.5万/月
杭州网银互联科技股份有限公司   杭州-西湖区   1.5-3万/月
厦门马途商贸有限公司   厦门   0.5-2万/月
灵玖中科软件（北京）有限公司   北京   6-8千/月
广东雀鸟科技有限公司   广州-天河区   0.8-1.5万/月
广州机智云物联网科技有限公司   广州-天河区   1.2-2万/月
上海乐野网络科技有限公司   上海-浦东新区   0.7-1.5万/月
全美测评软件系统（北京）有限公司   上海-浦东新区   0.6-1万/月
